juice,"즙[주스], 육즙, 액"
bowl,"그릇, 한 그릇[통], 우묵한 부분"
excuse,"용서하다[봐주다], 변명하다"
slide,"미끄러지다, 미끄러지듯이[슬며시] 움직이다"
climb,"오르다, 가다[움직이다]"
bell,"종, 벨"
coin,"동전, 주화"
cap,"모자, 사각모, 대표 선수"
yesterday,어제
supermarket,"슈퍼마켓, 할인점"
rice,"쌀, 벼, 밥"
sir,"경, 선생님"
sand,"모래, 모래사장"
hill,"언덕, 경사로"
knife,"칼, 나이프"
wet,"젖은, 비가 오는, 아직 마르지 않은"
ceiling,"천장, …의 최대 한계[상한]"
pig,"돼지, 돼지 같은 사람"
guitar,기타
narrow,"좁은, 아슬아슬하게[가까스로/간신히] 된"
bicycle,자전거
lion,사자
flag,"기,깃발,기[기치]"
monkey,"원숭이, 장난꾸러기 , 500 파운드"
silver,"은, 은화, 은식기류, 은색"
cousin,"사촌, 친척, 형제 같은 사람들"
color,"색, 총천연색의, 핏기"
okay,"네, 자, 됐니, 알았어"
Mr,"… 씨[님/선생], … 님"
Mrs,부인
bye,안녕
basket,"바구니, 바구니, 바스켓"
swing,"흔들리다[흔들다], 휙 움직이다[돌다]"
dollar,"달러, 1달러"
spell,"철자를 말하다[쓰다], 철자를 맞게 쓰다"
truck,"대형 트럭, 무개화차, 손수레"
dictionary,"사전, 사전[딕셔너리]"
shower,"샤워기, 소나기, 소나기처럼 쏟아지는[퍼붓는] 것들"
brush,"붓, 붓질, 가볍게 닿음[스침]"
zero,"0, 영, 무"
cow,"암소, 년"
orange,"오렌지, 오렌지 주스[음료]"
engine,"엔진, 기관차"
balloon,"풍선, 열기구 풍선"
tonight,오늘 밤에
bridge,"다리, 가교, 함교[연단]"
airport,공항
camp,"야영지, 캠프, 수용소, 막사"
apartment,"아파트, 콘도, 방"
banana,바나나
pen,"펜, 우리"
drum,"북, 통, 드럼[원통]"
bench,"벤치, 판사, 벤치[의원석]"
